epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.0892,1.82586,4.42006,0.008,0.01321,0.99074,0.01387,0.00712,1.3572,4.45856,0.0087,0.0003,0.0003,0.0003
2,183.778,1.67638,3.22428,0.00711,0.01321,0.99074,0.0887,0.02959,1.31206,4.20475,0.00849,0.000611816,0.000611816,0.000611816
3,273.89,1.67174,2.95139,0.00693,0.01333,1,0.17561,0.07597,1.35342,3.9746,0.00893,0.000915184,0.000915184,0.000915184
4,369.708,1.68592,2.65575,0.00728,0.6931,0.5463,0.72914,0.34482,1.40378,3.41084,0.00931,0.0012101,0.0012101,0.0012101
5,461.241,1.71756,2.37685,0.00717,0.80301,0.52843,0.791,0.32625,1.58516,3.27332,0.01143,0.00149658,0.00149658,0.00149658
6,555.953,1.71216,2.21739,0.00756,0.80133,0.75,0.86299,0.4166,1.63912,2.4687,0.01112,0.0017746,0.0017746,0.0017746
7,651.777,1.76621,2.07934,0.00785,0.79316,0.81664,0.90132,0.42103,1.70774,2.18511,0.01234,0.0018416,0.0018416,0.0018416
8,744.457,1.74287,1.82485,0.0074,0.79482,0.84259,0.91364,0.47066,1.66114,1.68263,0.01119,0.0018152,0.0018152,0.0018152
9,844.258,1.74924,1.70369,0.0078,0.81643,0.86482,0.92274,0.4734,1.71413,1.50977,0.01133,0.0017888,0.0017888,0.0017888
10,947.333,1.73974,1.58148,0.00797,0.84485,0.83333,0.9251,0.46676,1.71548,1.36303,0.01161,0.0017624,0.0017624,0.0017624
11,1042.18,1.77344,1.47605,0.00745,0.86096,0.82407,0.91476,0.446,1.81315,1.33335,0.01274,0.001736,0.001736,0.001736
12,1138.98,1.74954,1.45308,0.0077,0.76631,0.85185,0.90838,0.42619,1.78237,1.27826,0.01202,0.0017096,0.0017096,0.0017096
13,1237.34,1.75636,1.4712,0.00775,0.87015,0.86111,0.90393,0.41179,1.86413,1.25256,0.01327,0.0016832,0.0016832,0.0016832
14,1328.53,1.69107,1.33579,0.00731,0.91387,0.7963,0.932,0.46425,1.74375,1.09822,0.01165,0.0016568,0.0016568,0.0016568
15,1421.95,1.70173,1.20178,0.0073,0.87212,0.88889,0.95641,0.4493,1.8427,1.02682,0.01232,0.0016304,0.0016304,0.0016304
