epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,103.093,2.63583,11.1635,0.70932,4.035,0.05277,36.1796,0.62538,0.28,0.24633,0.09845,0,0,0,0,2.70583,11.4866,0.69285,2.25919,0.08127,0,0.00028,0.00028,0.00028
2,216.657,2.47276,10.8659,0.72591,2.44057,0.04957,29.263,0.61529,0.36,0.32705,0.11576,0,0,0,0,2.63038,10.9533,0.65376,3.05257,0.07703,0,0.000568516,0.000568516,0.000568516
3,339.486,2.35336,10.7011,0.69645,2.23046,0.04801,22.9829,0.39404,0.24,0.17813,0.05864,0,0,0,0,2.90032,10.481,0.43266,2.1414,0.09093,0,0.000845152,0.000845152,0.000845152
4,465.132,2.44034,10.5924,0.65696,2.49771,0.04711,21.2496,0.38765,0.32,0.27677,0.07384,0,0,0,0,2.85618,10.6848,0.41567,1.89819,0.08086,0,0.00110991,0.00110991,0.00110991
5,584.352,2.30332,10.4405,0.64422,2.29687,0.04407,18.7905,0.37576,0.32,0.20459,0.05994,0,0,0,0,2.52659,11.3317,0.37025,3.21856,0.06883,0,0.00136278,0.00136278,0.00136278
6,702.816,2.56396,10.3796,0.64696,2.34624,0.05481,17.3356,0.52925,0.24,0.22878,0.08769,0,0,0,0,2.88282,10.8674,0.41299,1.94632,0.08881,0,0.00160378,0.00160378,0.00160378
7,828.894,2.45328,10.4188,0.61467,2.3238,0.04546,16.1759,0.43261,0.42733,0.25678,0.04961,0,0,0,0,3.01226,11.2623,0.32122,2.23026,0.08928,0,0.0017624,0.0017624,0.0017624
8,956.457,2.2318,10.4772,0.66894,2.39844,0.04141,16.8111,0.55684,0.32,0.25768,0.07747,0,0,0,0,2.86775,10.5881,0.28103,1.82512,0.07966,0,0.0017228,0.0017228,0.0017228
9,1087.04,2.41275,10.3323,0.64027,2.31425,0.04413,15.2683,0.47993,0.28,0.21899,0.05739,0,0,0,0,2.83563,11.1149,0.36626,2.12568,0.08309,0,0.0016832,0.0016832,0.0016832
10,1244.13,2.34181,10.1313,0.63155,2.16813,0.04729,14.4296,0.46738,0.36,0.2038,0.05909,0,0,0,0,2.44756,10.8404,0.33469,2.37105,0.06961,0,0.0016436,0.0016436,0.0016436
11,1364.22,2.37349,10.3227,0.67904,2.48148,0.04813,15.5684,0.13972,0.16,0.0744,0.02369,0,0,0,0,2.20335,11.1441,0.44888,2.9036,0.0588,0,0.001604,0.001604,0.001604
